FIPS,State,County,"Farms with direct sales (% change), 2007 - 12","Farms with direct sales (%), 2007","Farms with direct sales (%), 2012","Direct farm sales (%), 2007","Direct farm sales (%), 2012","Direct farm sales (% change), 2007 - 12","Direct farm sales per capita, 2007","Direct farm sales per capita, 2012","Direct farm sales per capita (% change), 2007 - 12","Farmers' markets (% change), 2013-18","Farmers' markets/1,000 pop, 2013","Farmers' markets/1,000 pop, 2018","Farmers' markets/1,000 pop (% change), 2013-18","Farms with vegetables harvested for fresh market, 2007","Farms with vegetables harvested for fresh market, 2012","Farms with vegetables harvested for fresh market (% change), 2007 - 12","Vegetable acres harvested for fresh market, 2007","Vegetable acres harvested for fresh market, 2012","Vegetable acres harvested for fresh market (% change), 2007 - 12","Vegetable acres harvested for fresh market/1,000 pop, 2007","Vegetable acres harvested for fresh market/1,000 pop, 2012","Vegetable acres harvested for fresh market/1,000 pop (% change), 2007 - 12","CSA farms (% change), 2007 - 12","Agritourism operations (% change), 2007 - 12","Agritourism receipts (% change), 2007 - 12","Farm to school program, 2013","Farm to school program, 2015"
01001,AL,Autauga,104,6.024096386,13.11053985,0.596374046,1.554691838,208,1.908214865,5.582238333,192.5371998,0,0.018277192,0.017985288,-1.597096682,34,43,26.47058824,,,,,,,50,42.85714286,-35.96491228,,0
01003,AL,Baldwin,28.75,7.023705004,10.41456016,0.712634055,0.478010062,-9.370629371,4.147235563,3.403432845,-17.93490402,0,0.02052482,0.018346772,-10.61178017,51,50,-1.960784314,,,,,,,-46.15384615,-11.11111111,64.51612903,0,1
01005,AL,Barbour,-27.77777778,2.889245586,2.276707531,0.015403358,0.012457358,18.18181818,0.39629643,0.47866269,20.78400262,33.33333206,0.111342043,0.160765246,44.3886261,11,7,-36.36363636,30,41,36.66666667,1.080808445,1.509628484,39.67585944,-100,18.51851852,86.50306748,1,0
01007,AL,Bibb,8.333333333,5.687203791,6.878306878,,,-56.52173913,2.050093591,0.883314195,-56.91346977,0,0.044412863,0.044642858,0.517858326,10,10,0,,12,,,0.529988517,,50,20,,0,0
01009,AL,Blount,4.761904762,5.940594059,7.0910556,0.267716732,0.277791808,15.38461538,7.62802276,8.56757131,12.31706538,0,0.017357796,0.017289074,-0.395915985,65,59,-9.230769231,581,654,12.56454389,10.33072546,11.31957906,9.571966705,-42.85714286,-20,-89.76109215,1,0
01011,AL,Bullock,-7.692307692,4.693140794,4.395604396,0.10295127,0.106326422,38.0952381,3.814367451,5.468602678,43.36853353,0,0.094777748,0.098638788,4.073782921,17,8,-52.94117647,,70,,,6.600037715,,-100,-27.77777778,301.7241379,0,0
01013,AL,Butler,181.8181818,2.244897959,7.616707617,0.010500121,0.118930893,1210,0.478606298,6.419051352,1241.19659,0,0.098164327,0.101626016,3.526422262,19,23,21.05263158,,100,,,4.9000392,,66.66666667,0,-24.74226804,0,0
01015,AL,Calhoun,42.85714286,4.761904762,8.445945946,0.11583962,0.308498317,256.25,0.688402991,2.42995754,252.9847446,-33.33333206,0.025742013,0.017501334,-32.01256561,25,15,-40,38,,,0.326991421,,,-33.33333333,125,2800,0,0
01017,AL,Chambers,46.66666667,4.464285714,7.3089701,1.028553884,0.803357314,0,1.922690619,1.966250917,2.265590609,0,0.029288581,0.029748624,1.570726633,6,8,33.33333333,39,,,1.119178122,,,,-22.22222222,-70.78651685,0,0
01019,AL,Cherokee,-39.13043478,3.516819572,2.495543672,0.0899985,0.025832257,-42.59259259,2.113254804,1.191253891,-43.62942468,0,0.038424592,0.038414259,-0.026894119,16,4,-75,,,,,,,-50,-23.07692308,-85.29411765,1,1
01021,AL,Chilton,0,8.992248062,10.68139963,3.732371269,5.199825426,46.57293497,13.2692801,19.08597844,43.83582453,0,0,0,0,37,45,21.62162162,407,453,11.3022113,9.49138313,10.36684441,9.223748149,-66.66666667,-63.63636364,-76.27118644,0,0
